object_name,bnc_frequency
biscotti,0
otamatone,0
granite,0
hematite,0
contrabass,0
theremin,0
encyclopedia,0
segway,0
plushie,0
breadboard,0
furby,0
sucklet,0
folio,0
ocarina,0
nametag,0
monocle,0
mouthpiece,0
molar,0
shortbread,0
elixir,0
icicle,0
gastropod,0
eggnog,0
spork,0
Flav-R-Straw,0
succulent,0
sabre,0
tiramisu,0
puncher,0
tendon,0
laminator,0
shredder,0
jackknife,0
edamame,0
furminator,0
tricycle,0
rambutan,0
cherimoya,0
drone,0
GPU,0
eulogy,0
croffle,0
frogspawn,0
parsley,0
hydrant,0
protractor,0
colander,0
boardgame,0
thimble,0
anaconda,0
chromebook,0
petroleum,0
frappuccino,0
eyeball,0
gameboy,0
disinfectant,0
toaster,0
zucchini,0
chartreuse,0
pomelo,0
mallard,0
sealant,0
sodastream,0
barbell,0
incense,0
compass,0
clipper,0
lunchbox,0
gelcap,0
adhesive,0
gavel,0
hairpiece,0
mortar,0
stethoscope,0
ladybug,0
sponge,0
projector,0
odometer,0
magnet,0
vacuum,0
tunic,0
scarf,0
oyster,0
tusk,0
taxidermy,0
neonate,0
mamba,0
hanger,0
spatula,0
chandelier,0
lantern,0
obituary,0
gumball,0
beetle,0
wren,0
leek,0
scrunchie,0
tetrapod,0
cuboid,0
prism,0
